id,AST,ALT,AST_ALT_Ratio,Liver_Steatosis,Liver_Ballooning
DO-1,59,30,1.97,0,4
DO-2,89,43,2.07,0,4
DO-3,197,NA,NA,0,4
DO-4,58,28,2.07,0,2
DO-5,39,23,1.7,0,3
DO-6,60,29,2.07,0,0
DO-7,70,27,2.59,0,4
DO-8,53,39,1.36,0,2
DO-9,46,43,1.07,0,2
DO-10,55,42,1.31,0,3
DO-11,38,31,1.23,0,3
DO-12,55,30,1.83,0,4
DO-13,34,20,1.7,0,3
DO-14,97,28,3.46,0,4
DO-15,34,15,2.27,0,1
DO-16,53,26,2.04,0,0
DO-17,52,33,1.58,0,2
DO-18,37,18,2.06,3,2
DO-19,53,32,1.66,0,3
DO-20,56,28,2,0,3
DO-21,51,26,1.96,0,4
DO-22,132,52,2.54,0,3
DO-23,58,41,1.41,0,5
DO-24,100,40,2.5,0,3
DO-25,56,39,1.44,0,2
DO-27,67,30,2.23,0,4
DO-28,61,28,2.18,0,4
DO-29,51,39,1.31,0,3
DO-30,78,23,3.39,0,1
DO-31,38,21,1.81,0,4
DO-32,57,36,1.58,2,3
DO-33,49,43,1.14,1,4
DO-34,74,34,2.18,1,0
DO-35,76,28,2.71,1,2
DO-36,50,36,1.39,3,3
DO-38,57,35,1.63,0,0
DO-39,35,21,1.67,0,4
DO-41,33,23,1.43,0,1
DO-42,51,23,2.22,0,3
DO-44,42,24,1.75,0,5
DO-45,34,19,1.79,3,3
DO-46,43,23,1.87,0,0
DO-47,96,31,3.1,0,2
DO-48,39,22,1.77,3,1
DO-49,50,18,2.78,0,0
DO-50,41,18,2.28,0,0
DO-51,49,19,2.58,0,2
DO-52,191,37,5.16,0,0
DO-53,42,31,1.35,0,1
DO-54,162,30,5.4,0,1
DO-55,60,34,1.76,0,4
DO-56,181,27,6.7,0,1
DO-57,58,29,2,0,1
DO-59,82,22,3.73,0,4
DO-60,40,20,2,0,1
DO-61,41,23,1.78,0,3
DO-62,151,23,6.57,3,3
DO-63,71,23,3.09,1,3
DO-64,NA,NA,NA,0,0
DO-65,114,30,3.8,0,2
DO-66,42,22,1.91,0,4
DO-67,45,17,2.65,0,0
DO-68,45,24,1.88,0,3
DO-69,37,15,2.47,1,3
DO-70,40,19,2.11,0,1
DO-71,47,23,2.04,0,2
DO-72,45,20,2.25,0,3
DO-73,83,30,2.77,0,3
DO-74,145,29,5,0,4
DO-75,85,21,4.05,0,1
DO-76,41,17,2.41,0,1
DO-77,39,22,1.77,0,3
DO-78,103,21,4.9,0,4
DO-79,104,26,4,0,4
DO-80,45,16,2.81,0,4
DO-81,39,25,1.56,2,4
DO-82,43,23,1.87,2,4
DO-83,64,31,2.06,0,1
DO-84,169,27,6.26,NA,NA
DO-85,140,23,6.09,0,2
DO-86,51,19,2.68,0,0
DO-87,37,15,2.47,0,4
DO-88,52,22,2.36,0,3
DO-89,61,31,1.97,0,3
DO-90,84,24,3.5,0,4
DO-91,62,27,2.3,0,4
DO-92,186,NA,NA,0,2
DO-93,59,27,2.19,1,4
DO-94,101,20,5.05,0,4
DO-95,117,18,6.5,0,3
DO-96,48,28,1.71,0,5
DO-97,50,20,2.5,0,3
DO-98,58,28,2.07,0,3
99,64,29,2.21,0,4
101,NA,NA,NA,0,4
102,73,25,2.92,0,4
103,46,22,2.09,0,3
104,42,23,1.83,0,5
105,83,21,3.95,0,5
106,76,21,3.62,0,4
107,80,40,2,1,3
109,212,42,5.05,0,4
110,77,36,2.14,0,2
111,61,23,2.65,0,2
113,56,40,1.4,0,4
114,34,19,1.79,0,2
115,36,19,1.89,0,1
116,37,24,1.54,2,2
117,35,24,1.46,3,2
118,44,17,2.59,0,4
119,NA,NA,NA,1,5
121,68,23,2.96,0,2
122,120,30,4,0,2
123,93,30,3.1,0,3
124,64,18,3.56,0,3
125,70,31,2.26,0,3
126,30,16,1.88,1,4
127,39,23,1.7,1,4
128,88,28,3.14,0,3
129,62,35,1.77,0,5
130,124,44,2.82,0,1
131,37,16,2.31,0,4
132,47,35,1.34,0,3
133,59,40,1.48,0,3
134,44,34,1.29,0,2
135,36,24,1.5,1,5
136,77,33,2.33,0,1
137,45,38,1.18,0,3
138,188,24,7.83,0,3
139,35,21,1.67,0,4
140,69,21,3.29,0,2
141,120,36,3.33,0,4
142,82,38,2.16,0,3
143,37,22,1.68,0,3
144,127,22,5.77,0,4
145,135,30,4.5,0,2
146,49,19,2.58,0,2
147,37,24,1.54,1,4
148,66,25,2.64,0,2
149,35,22,1.59,0,1
150,50,30,1.67,0,1
151,43,26,1.65,0,4
152,27,22,1.23,0,2
153,48,29,1.66,0,0
154,101,31,3.26,0,3
155,82,52,1.58,0,4
156,51,25,2.04,0,4
157,102,33,3.09,5,1
158,38,32,1.19,2,4
159,39,23,1.7,0,5
160,41,31,1.32,0,4
161,49,35,1.4,0,4
162,134,33,4.06,1,5
163,49,19,2.58,0,2
164,51,26,1.96,1,4
165,61,28,2.18,0,3
166,43,25,1.72,0,2
167,49,23,2.13,0,5
168,50,21,2.38,0,4
169,49,16,3.06,0,3
170,69,21,3.29,0,3
171,45,25,1.8,0,5
172,49,23,2.13,0,3
173,72,21,3.43,0,1
174,45,24,1.88,1,4
175,42,21,2,0,4
176,75,29,2.59,0,3
177,52,24,2.17,0,4
178,41,17,2.41,0,4
179,58,31,1.87,0,4
180,39,17,2.29,0,4
181,37,15,2.47,0,4
182,104,26,4,1,4
183,75,29,2.59,0,3
184,42,20,2.1,0,3
185,47,34,1.38,0,3
186,57,41,1.39,2,4
187,44,14,3.14,0,4
188,39,18,2.17,0,1
189,146,28,5.21,2,4
190,111,25,4.44,0,2
192,34,17,2,0,4
193,59,26,2.27,0,2
194,51,25,2.04,0,4
195,48,20,2.4,0,2
196,37,23,1.61,0,4
197,50,28,1.79,0,2
198,34,16,2.13,0,1
199,44,14,3.14,0,4
200,54,24,2.25,0,3
201,46,17,2.71,0,4
202,233,49,4.76,0,3
203,44,17,2.59,0,2
204,51,23,2.22,0,5
205,41,24,1.71,0,2
206,46,24,1.92,0,3
207,65,30,2.17,0,3
208,70,31,2.26,0,3
209,33,15,2.2,0,4
210,58,20,2.9,0,1
211,44,17,2.59,0,3
212,125,24,5.21,0,2
213,50,21,2.38,0,3
214,47,27,1.74,0,2
215,49,36,1.36,1,4
216,170,29,5.86,0,4
217,57,29,1.97,0,4
218,54,20,2.7,0,3
219,118,26,4.54,0,2
220,45,25,1.8,1,4
221,51,19,2.68,0,3
222,29,18,1.61,0,4
223,45,29,1.55,0,4
224,45,26,1.73,1,5
225,84,22,3.82,0,2
226,52,28,1.86,0,3
227,42,23,1.83,0,4
228,43,26,1.65,0,3
229,38,23,1.65,0,2
230,35,19,1.84,0,3
231,38,27,1.41,0,4
232,33,23,1.43,1,4
233,37,22,1.68,0,4
235,38,23,1.65,0,4
237,33,17,1.94,0,2
238,44,27,1.63,0,3
239,41,18,2.28,0,2
240,45,30,1.5,0,2
241,44,21,2.1,0,3
242,29,15,1.93,0,3
243,137,31,4.42,0,3
244,36,16,2.25,1,3
245,45,33,1.36,0,3
246,41,32,1.28,0,3
247,63,25,2.52,0,4
248,48,31,1.55,0,3
249,27,24,1.13,0,5
250,43,24,1.79,0,2
251,50,40,1.25,0,2
252,42,24,1.75,0,0
253,41,24,1.71,0,4
254,34,19,1.79,0,3
255,59,28,2.11,0,3
256,45,23,1.96,1,1
257,41,29,1.41,0,4
258,35,20,1.75,0,5
259,53,21,2.52,0,2
260,30,18,1.67,0,4
261,43,28,1.54,0,3
262,40,24,1.67,0,4
263,38,24,1.58,0,5
264,38,22,1.73,0,4
265,44,27,1.63,0,4
266,48,21,2.29,0,5
267,41,19,2.16,0,2
268,52,60,0.87,0,1
269,45,29,1.55,0,4
270,53,27,1.96,0,2
271,36,19,1.89,0,3
272,34,20,1.7,0,0
273,50,33,1.52,1,4
274,40,36,1.11,3,4
275,37,20,1.85,0,4
276,53,34,1.56,0,2
277,37,22,1.68,0,4
278,39,26,1.5,0,5
279,47,24,1.96,0,3
281,52,29,1.79,0,3
282,52,17,3.06,0,3
283,48,35,1.37,0,4
284,38,31,1.23,0,4
285,41,23,1.78,0,3
286,33,20,1.65,0,2
288,50,29,1.72,0,3
289,48,28,1.71,0,4
291,54,30,1.8,2,4
292,43,33,1.3,0,3
293,43,25,1.72,0,3
294,47,20,2.35,0,3
295,36,31,1.16,0,4
296,49,22,2.23,2,2
297,37,17,2.18,1,4
298,63,23,2.74,0,1
299,51,26,1.96,1,3
300,43,19,2.26,1,3
301,48,22,2.18,0,5
302,44,23,1.91,0,3
303,51,21,2.43,0,3
304,NA,23,NA,0,4
305,49,18,2.72,1,3
306,54,35,1.54,0,3
308,50,27,1.85,0,2
309,61,27,2.26,0,3
310,46,19,2.42,0,1
311,55,27,2.04,0,3
312,40,20,2,1,3
313,50,33,1.52,1,3
314,42,20,2.1,0,3
315,56,25,2.24,0,4
316,44,25,1.76,0,4
317,65,43,1.51,0,2
318,37,17,2.18,0,5
319,47,30,1.57,0,4
320,41,21,1.95,0,3
321,56,39,1.44,0,4
322,45,26,1.73,1,3
323,52,17,3.06,0,2
324,31,16,1.94,0,2
325,52,37,1.41,1,4
326,36,23,1.57,0,3
328,45,22,2.05,0,3
329,36,20,1.8,0,2
330,46,32,1.44,0,3
331,82,23,3.57,0,4
332,42,22,1.91,1,4
333,44,22,2,0,4
334,49,21,2.33,1,3
335,39,23,1.7,0,3
336,46,19,2.42,0,3
337,119,30,3.97,0,3
338,58,56,1.04,0,3
339,50,20,2.5,0,4
340,67,28,2.39,0,2
341,50,21,2.38,0,4
342,50,24,2.08,0,3
343,42,24,1.75,0,4
344,66,33,2,0,3
345,45,19,2.37,0,4
346,39,24,1.63,0,4
347,50,22,2.27,1,3
348,43,22,1.95,0,3
349,44,20,2.2,0,4
350,39,20,1.95,0,4
351,40,22,1.82,0,3
352,56,28,2,3,4
353,58,29,2,0,1
354,28,14,2,0,4
355,56,25,2.24,0,3
356,47,21,2.24,0,3
357,43,26,1.65,1,4
358,70,42,1.67,0,3
359,49,25,1.96,0,4
361,70,31,2.26,0,4
362,45,33,1.36,1,4
363,57,19,3,0,4
364,48,20,2.4,0,4
365,54,23,2.35,0,4